year,Lstar_99p9,Lstar_99,Lstar_95,Lstar_90
1903,102.0,96.0,90.0,87.0
1908,103.0,97.0,91.0,87.0
1913,103.0,97.0,91.0,87.0
1918,101.0,95.0,90.0,87.0
1923,102.0,96.0,91.0,88.0
1928,101.0,96.0,91.0,88.0
1933,102.0,97.0,92.0,88.0
1938,102.0,97.0,91.0,88.0
1943,101.0,96.0,91.0,88.0
1948,102.0,98.0,93.0,90.0
1953,103.0,98.0,94.0,91.0
1958,103.0,98.0,93.0,91.0
1963,104.0,99.0,94.0,92.0
1968,103.0,99.0,94.0,92.0
1973,103.0,99.0,95.0,92.0
1978,108.0,103.0,98.0,95.0
1983,107.0,102.0,97.0,95.0
1988,105.0,101.0,97.0,95.0
1993,106.0,102.0,98.0,96.0
1998,108.0,104.0,100.0,97.0
2003,109.0,105.0,101.0,98.0
2008,109.0,105.0,101.0,99.0
2013,110.0,106.0,102.0,100.0
2018,110.0,108.0,104.0,101.0
